	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
256	Apoptosis	Apoptosis	232	train	False	CP_and_DP
257	Apoptosis	Apoptosis Negative	0	train	False	CP_and_DP
258	Apoptosis Negative	Apoptosis	2	train	False	CP_and_DP
259	Apoptosis Negative	Apoptosis Negative	230	train	False	CP_and_DP
260	ADCCM	ADCCM	81	train	False	CP_and_DP
261	ADCCM	ADCCM Negative	0	train	False	CP_and_DP
262	ADCCM Negative	ADCCM	0	train	False	CP_and_DP
263	ADCCM Negative	ADCCM Negative	81	train	False	CP_and_DP
264	SmallIrregular	SmallIrregular	139	train	False	CP_and_DP
265	SmallIrregular	SmallIrregular Negative	0	train	False	CP_and_DP
266	SmallIrregular Negative	SmallIrregular	1	train	False	CP_and_DP
267	SmallIrregular Negative	SmallIrregular Negative	138	train	False	CP_and_DP
268	Polylobed	Polylobed	294	train	False	CP_and_DP
269	Polylobed	Polylobed Negative	18	train	False	CP_and_DP
270	Polylobed Negative	Polylobed	38	train	False	CP_and_DP
271	Polylobed Negative	Polylobed Negative	274	train	False	CP_and_DP
272	Metaphase	Metaphase	63	train	False	CP_and_DP
273	Metaphase	Metaphase Negative	0	train	False	CP_and_DP
274	Metaphase Negative	Metaphase	1	train	False	CP_and_DP
275	Metaphase Negative	Metaphase Negative	62	train	False	CP_and_DP
276	Binuclear	Binuclear	156	train	False	CP_and_DP
277	Binuclear	Binuclear Negative	0	train	False	CP_and_DP
278	Binuclear Negative	Binuclear	1	train	False	CP_and_DP
279	Binuclear Negative	Binuclear Negative	155	train	False	CP_and_DP
280	Hole	Hole	97	train	False	CP_and_DP
281	Hole	Hole Negative	0	train	False	CP_and_DP
282	Hole Negative	Hole	0	train	False	CP_and_DP
283	Hole Negative	Hole Negative	97	train	False	CP_and_DP
284	Anaphase	Anaphase	71	train	False	CP_and_DP
285	Anaphase	Anaphase Negative	0	train	False	CP_and_DP
286	Anaphase Negative	Anaphase	5	train	False	CP_and_DP
287	Anaphase Negative	Anaphase Negative	66	train	False	CP_and_DP
288	MetaphaseAlignment	MetaphaseAlignment	146	train	False	CP_and_DP
289	MetaphaseAlignment	MetaphaseAlignment Negative	3	train	False	CP_and_DP
290	MetaphaseAlignment Negative	MetaphaseAlignment	19	train	False	CP_and_DP
291	MetaphaseAlignment Negative	MetaphaseAlignment Negative	130	train	False	CP_and_DP
292	Elongated	Elongated	94	train	False	CP_and_DP
293	Elongated	Elongated Negative	0	train	False	CP_and_DP
