UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
3.055203	9.679082	4.0719423	Polylobed
2.9719465	9.482535	3.6240551	Interphase
6.0525913	8.668971	3.8563368	MetaphaseAlignment
3.3896227	8.338573	4.4759464	Polylobed
2.879232	8.72846	4.207553	Polylobed
3.1137552	8.590948	4.491713	Polylobed
3.0809064	8.816758	4.3675747	Polylobed
6.2136755	8.025333	3.1763206	MetaphaseAlignment
4.0964866	5.316502	3.5097163	Binuclear
4.1826754	5.357643	3.514409	Binuclear
4.839187	7.554238	3.3748853	Polylobed
5.4491215	7.3661237	3.3379982	Polylobed
4.802925	7.5343227	2.930452	Polylobed
4.631486	6.144775	3.897798	Polylobed
4.694359	6.5879445	4.2177444	Polylobed
5.343143	6.410998	3.932352	Polylobed
3.760109	6.2291713	4.1707854	Polylobed
3.995001	5.381716	3.7633424	Polylobed
4.0595202	5.306575	3.8198948	Polylobed
2.822048	5.6556997	4.3523	Polylobed
2.8104906	5.815137	4.3426156	Polylobed
2.7152467	6.1826596	4.3056655	Polylobed
2.8635998	5.6998634	4.3893647	Polylobed
2.8397002	5.824623	4.3372416	Polylobed
6.068099	6.8289943	3.5063336	Polylobed
5.7056026	7.19403	3.4261856	Polylobed
3.618734	5.9510946	2.761644	Polylobed
3.186651	7.3305264	3.2927225	Polylobed
3.6652892	5.8295674	2.7535112	Polylobed
2.8530402	7.61833	3.5616133	Polylobed
3.6780555	5.5748754	2.7915273	Polylobed
3.4526565	6.819085	3.6299102	Binuclear
3.6478384	6.769833	3.2329144	Binuclear
4.7194734	5.050332	3.1574972	Polylobed
4.6967216	5.0764	3.1934443	Polylobed
4.7089987	5.0864363	3.2015157	Polylobed
4.7244434	5.12611	3.2226915	Polylobed
3.3841584	7.188631	4.9178896	Binuclear
3.4300106	7.1138773	4.91806	Binuclear
3.1616244	7.3409586	4.9048886	Polylobed
3.242862	7.279657	5.0035224	Polylobed
3.2575507	7.2718377	5.00153	Polylobed
1.5368837	6.7718935	5.0215387	Polylobed
1.5354707	6.75393	5.0160537	Polylobed
1.5314243	6.7573886	5.028076	Polylobed
1.5264603	6.7019596	5.0120764	Polylobed
1.5161935	6.6642404	4.991707	Polylobed
1.578727	6.793507	5.016403	Polylobed
1.5263195	6.733903	4.9917455	Polylobed
1.4983999	6.711159	5.0388675	Polylobed
1.5269104	6.7288184	5.0486073	Polylobed
6.3294272	6.881174	3.2636142	Elongated
4.761928	6.4748282	4.4429893	Polylobed
4.7447386	6.540425	4.1756487	Polylobed
4.62528	6.53733	4.2895184	Polylobed
4.303163	6.475079	4.4150095	Polylobed
5.149142	6.5671363	3.5182543	Polylobed
4.63412	6.4590244	4.352362	Polylobed
4.0076036	5.2840376	3.5090592	Binuclear
4.035129	5.3084126	3.5014403	Binuclear
4.0760813	6.026085	3.752812	Binuclear
4.7364593	5.753584	3.8869007	Binuclear
3.8581173	5.4265237	4.116891	Polylobed
4.0609875	5.2496266	3.8076468	Polylobed
2.779885	5.9189553	4.316071	Polylobed
2.772219	6.050812	4.3746753	Polylobed
3.4236572	7.6856923	2.5622785	Polylobed
3.386421	7.5458117	2.710026	Polylobed
2.7752037	5.9068255	4.339935	Polylobed
3.8887932	6.9643245	3.5700576	Polylobed
3.0430832	6.30046	4.3928523	Polylobed
3.3981183	6.448214	4.2938166	Polylobed
4.4294896	6.5409565	3.242674	Binuclear
4.375827	6.5810246	3.3083797	Binuclear
3.4129493	7.244362	3.36374	Polylobed
4.3090477	6.4467463	3.8014996	Polylobed
3.330188	7.178476	3.3638709	Polylobed
3.4981763	6.722871	4.3428817	Polylobed
5.675207	7.2539787	3.3618274	Binuclear
3.5223365	6.722671	3.2979789	Binuclear
4.314994	8.409293	2.6808743	Binuclear
5.5019245	7.414431	3.2507217	Binuclear
4.3418717	6.486996	3.1837282	Binuclear
4.0161476	7.0443215	3.2550337	Binuclear
4.8707347	5.0170746	3.2167704	Artefact
6.333331	7.7464447	3.039511	Apoptosis
4.8960075	4.9973445	3.2132735	Artefact
3.8294523	7.330424	3.6333625	Binuclear
4.0754266	6.7276087	3.5896683	Binuclear
3.2109518	7.3269544	4.8737392	Polylobed
3.0382333	7.3995285	4.8099217	Polylobed
3.248808	7.233525	4.9670944	Polylobed
3.2406497	7.1909266	4.985894	Polylobed
1.5321681	6.757328	5.0139413	Polylobed
1.5554824	6.822433	5.008307	Polylobed
1.5371133	6.7792964	5.0101767	Polylobed
1.5110601	6.7365546	5.004646	Polylobed
1.5328737	6.7752404	4.9956465	Polylobed
1.589123	6.781839	4.995361	Polylobed
1.5119609	6.6978965	5.006006	Polylobed
1.5378975	6.719385	5.013985	Polylobed
7.2767816	6.9295197	2.8263216	UndefinedCondensed
6.9941444	6.540735	3.1586943	Interphase
5.2041974	5.433952	5.7136006	MetaphaseAlignment
6.945593	6.417299	3.0293424	MetaphaseAlignment
4.6247787	6.020208	3.8978114	Polylobed
4.017777	6.9221964	3.6601546	Polylobed
3.9255657	5.2744045	3.6498678	Binuclear
4.061623	7.013002	3.70305	Polylobed
3.9751666	5.3008685	3.538734	Binuclear
3.6483166	5.6171236	4.57977	Binuclear
4.4801145	5.094155	3.8950799	Binuclear
