UMAP1	UMAP2	Mitocheck_Phenotypic_Class
4.2745366	5.7746406	Large
5.0320916	6.8746676	Large
3.1585953	6.5655665	Binuclear
2.7124233	4.6974926	Binuclear
3.2205756	6.291357	Binuclear
1.2948638	5.603487	Polylobed
1.9137323	5.5237775	Polylobed
1.3209971	5.6063504	Polylobed
1.4896908	5.601661	Polylobed
2.4007428	5.4627686	Polylobed
2.110823	5.57745	Polylobed
1.4968829	4.706806	Polylobed
1.5927591	4.7480397	Polylobed
1.3533581	7.480493	Polylobed
1.2689142	7.189934	Polylobed
1.3106318	7.2821746	Polylobed
1.5952917	4.5543485	Polylobed
1.6218784	4.5181556	Polylobed
1.6364917	4.508882	Polylobed
1.6016351	4.4783974	Polylobed
1.622746	4.4462147	Polylobed
3.8333762	6.0102477	Large
2.264095	5.183247	Polylobed
1.7424462	3.692882	Polylobed
2.213924	5.1741805	Polylobed
1.2960938	4.8858833	Polylobed
1.215173	6.693371	Polylobed
6.866356	6.250286	Metaphase
4.8347063	5.629777	Interphase
6.180254	6.5550246	Interphase
3.1086383	5.455639	Binuclear
3.6133552	5.740206	Binuclear
4.0924788	5.788809	Large
4.410244	5.5873137	Interphase
3.4340966	6.9253664	Interphase
6.3603773	6.091222	Interphase
5.760163	5.7506127	Interphase
2.312298	7.933097	Interphase
4.4719296	6.329767	Interphase
2.3070781	8.153626	Binuclear
4.3479967	6.4196253	Interphase
2.1572604	8.384277	Binuclear
6.007542	6.0198736	Interphase
8.771648	5.9532843	Metaphase
8.546001	6.0006843	Metaphase
8.991629	5.5952353	MetaphaseAlignment
8.155794	5.2303667	MetaphaseAlignment
7.3038754	7.4175415	MetaphaseAlignment
7.405804	4.638753	MetaphaseAlignment
6.4413786	8.288628	SmallIrregular
6.551669	8.277803	SmallIrregular
6.2728124	8.96342	SmallIrregular
7.1522985	7.7573934	SmallIrregular
5.8400083	9.725235	SmallIrregular
4.2945857	7.14283	SmallIrregular
5.935373	9.778574	SmallIrregular
7.914702	5.1957197	Apoptosis
5.856248	7.3998504	Hole
5.8007703	8.948595	SmallIrregular
6.6231556	6.4233828	SmallIrregular
6.371169	8.469768	SmallIrregular
6.3803086	8.566605	SmallIrregular
6.605766	7.1862974	SmallIrregular
5.846465	9.683458	SmallIrregular
6.0498257	9.36672	Folded
5.9936814	9.44277	SmallIrregular
6.0091724	9.425383	SmallIrregular
6.4445405	8.876057	UndefinedCondensed
7.2617073	7.899946	SmallIrregular
4.151712	9.184232	Folded
3.7005525	9.198817	Folded
7.2627406	7.83162	SmallIrregular
5.8240294	9.699178	SmallIrregular
5.8391285	9.69048	SmallIrregular
5.8494234	9.720146	SmallIrregular
5.9501777	9.797396	SmallIrregular
5.933982	9.850392	SmallIrregular
5.882062	9.771293	SmallIrregular
6.1163974	5.8514223	Hole
7.6153617	7.2113695	UndefinedCondensed
6.0239387	7.546379	Hole
5.6085286	6.6347957	Hole
4.225996	5.8252344	Folded
5.1441665	9.062652	SmallIrregular
5.7962875	9.752965	SmallIrregular
7.2204986	7.5336523	SmallIrregular
6.5428967	8.236731	SmallIrregular
5.633667	6.675996	SmallIrregular
6.5607285	8.055345	SmallIrregular
7.253271	7.4803486	SmallIrregular
6.296867	7.00045	SmallIrregular
5.9390206	9.808647	SmallIrregular
5.901652	9.812653	SmallIrregular
5.730241	7.3438435	Hole
5.961178	7.2518177	Hole
5.047524	7.36069	Hole
6.398418	8.312055	SmallIrregular
6.1481757	8.770729	SmallIrregular
5.2393737	9.276821	SmallIrregular
5.2978797	9.028314	SmallIrregular
6.04917	8.743267	UndefinedCondensed
6.769561	7.028287	SmallIrregular
5.721794	9.594612	SmallIrregular
5.9417953	9.81116	SmallIrregular
5.8777847	9.740197	SmallIrregular
5.8857594	9.801893	SmallIrregular
5.870383	9.457253	SmallIrregular
5.8658314	9.397266	SmallIrregular
7.2391863	7.497413	SmallIrregular
6.124886	8.630963	SmallIrregular
6.106706	8.832973	SmallIrregular
5.8260617	8.635677	UndefinedCondensed
5.662351	7.7982564	MetaphaseAlignment
5.6501403	8.118295	MetaphaseAlignment
5.496685	8.210568	MetaphaseAlignment
8.114949	4.4419036	MetaphaseAlignment
8.953831	4.502922	Prometaphase
8.145148	4.5658746	MetaphaseAlignment
8.852876	5.9118176	MetaphaseAlignment
8.69551	6.3783336	UndefinedCondensed
5.5312023	8.060846	MetaphaseAlignment
4.2426286	8.692002	Artefact
5.1880517	6.4183917	Artefact
6.7558284	7.4827967	MetaphaseAlignment
5.6130157	8.142315	MetaphaseAlignment
5.3964753	8.067704	MetaphaseAlignment
5.7043962	6.67173	UndefinedCondensed
7.918462	5.923708	UndefinedCondensed
7.309295	4.5926723	MetaphaseAlignment
2.639905	9.242107	Interphase
3.0347445	9.425049	Interphase
3.1685023	9.226993	Interphase
3.013696	8.96257	Interphase
3.01932	9.393367	Interphase
3.147722	9.343875	Interphase
3.3359683	9.155512	Interphase
3.3364558	9.360588	Interphase
3.6127756	9.197142	Interphase
5.5086446	7.964391	Polylobed
3.2632732	6.6905804	Polylobed
3.692943	5.635007	Polylobed
4.005207	5.0630603	Polylobed
4.290442	4.4744787	Polylobed
4.663819	8.115722	Polylobed
6.1560516	6.83647	Polylobed
7.130418	7.4300876	MetaphaseAlignment
5.421247	5.684779	Binuclear
5.201567	5.670962	Binuclear
6.8945093	7.4397335	Metaphase
5.0261564	5.9364257	Binuclear
4.835023	5.98	Binuclear
5.652061	8.212607	Metaphase
2.6847618	5.2191606	Binuclear
3.7463057	4.8103695	Binuclear
7.9549985	4.4921694	MetaphaseAlignment
8.945197	4.481616	Prometaphase
5.8909955	5.943661	Polylobed
6.2190037	6.1378784	Polylobed
7.653642	4.5270185	Prometaphase
8.462123	5.8912654	Metaphase
7.487612	6.183301	Interphase
3.299366	5.9942646	Interphase
4.9287405	8.560489	Grape
7.3360066	6.3189597	Interphase
7.090588	6.384024	Interphase
7.2296	6.2889338	Interphase
7.131563	6.4991927	Interphase
6.520878	8.946212	Interphase
7.218727	6.5159345	Interphase
7.3387866	7.427339	Interphase
7.0671363	8.144167	Interphase
7.2569594	6.3753963	Interphase
7.278956	6.399758	Interphase
7.576846	6.654611	Interphase
7.2788286	6.657883	Interphase
6.5630827	8.564286	Interphase
7.211509	8.302425	Interphase
7.3884344	6.294961	Interphase
2.714892	8.01443	Interphase
6.7968216	7.0849795	Interphase
7.2876573	6.3901777	Interphase
6.801912	8.458498	Interphase
7.480317	7.6080475	SmallIrregular
7.4770546	7.7555456	SmallIrregular
7.452103	7.6718903	SmallIrregular
7.4268866	7.781325	SmallIrregular
7.5673404	6.3549404	SmallIrregular
6.296907	7.0450377	Hole
3.6790023	6.856257	Folded
7.423628	7.7673764	Hole
3.3010306	6.982325	Folded
5.094366	7.50832	Folded
5.168746	7.6074185	Folded
5.14661	7.4182773	Folded
1.9856565	6.067193	Polylobed
2.6757789	5.9339848	Polylobed
1.7499495	8.078733	Polylobed
2.23869	9.499356	Polylobed
2.478127	8.182031	Polylobed
2.0503285	7.518428	Polylobed
2.191539	7.035428	Polylobed
1.6161296	9.772836	Polylobed
2.7403793	3.3391955	Polylobed
1.5710865	9.805188	Polylobed
2.766316	3.3235164	Polylobed
1.6007488	9.77342	Polylobed
2.965526	3.1911225	Polylobed
3.9335842	2.0323749	Polylobed
2.820026	3.2436068	Polylobed
1.6107584	9.805941	Polylobed
2.9163673	3.1551073	Polylobed
2.9071388	3.1991577	Polylobed
3.5282602	8.002499	Prometaphase
7.6416903	4.9175453	Prometaphase
4.2891407	7.0121226	Binuclear
4.2797856	7.055437	Binuclear
4.105301	6.7288084	Interphase
3.2071629	4.901087	Binuclear
3.4070358	4.546315	Binuclear
5.2217984	6.199579	Interphase
1.9356691	5.7423434	Binuclear
1.9079428	5.705995	Binuclear
2.6809518	9.3516035	Interphase
2.730172	8.00327	Interphase
2.9349391	7.8951535	Interphase
2.6862314	8.884777	Binuclear
2.4450731	9.049659	Binuclear
5.324435	6.347004	Interphase
6.476982	4.4859653	Metaphase
7.40032	5.8996043	Metaphase
7.594689	6.144546	Metaphase
7.727985	6.176257	Metaphase
6.2343974	5.8698444	MetaphaseAlignment
8.126504	5.029792	MetaphaseAlignment
2.271318	5.4213653	Polylobed
3.0685022	3.2312138	Polylobed
1.5550029	7.4649234	Polylobed
1.697807	7.316876	Polylobed
2.895976	4.265304	Polylobed
1.5305675	7.397787	Polylobed
3.8483734	5.3101916	Polylobed
1.7261147	5.0236564	Polylobed
6.8738523	6.0199857	Metaphase
1.715121	5.1970053	Polylobed
1.6772497	5.194374	Polylobed
1.662111	5.240575	Polylobed
8.851773	4.81035	MetaphaseAlignment
1.7494589	9.779708	MetaphaseAlignment
1.6406687	9.778455	Polylobed
2.34755	5.7141075	Metaphase
1.6188357	9.798143	Polylobed
7.6063733	6.9643736	Metaphase
3.6868892	3.3989737	Polylobed
1.6253864	9.763922	Polylobed
1.6186209	9.784945	Polylobed
2.8208811	3.328334	Polylobed
7.459682	6.195983	Metaphase
1.9899945	5.936789	Polylobed
2.0091326	5.9297256	Polylobed
1.9984674	5.9687676	Polylobed
2.7472134	5.747783	Polylobed
1.5652313	5.2100472	Binuclear
2.1158264	7.2849903	Polylobed
2.6093693	8.090805	Polylobed
2.2272723	6.41901	Binuclear
2.6404257	7.991697	Polylobed
1.7146237	5.239472	Binuclear
1.5832751	7.2017555	Binuclear
6.5859118	7.37849	Metaphase
1.7405624	7.243734	Polylobed
1.8280221	7.3402042	Polylobed
2.6083076	5.8433104	Polylobed
7.023797	5.2075796	MetaphaseAlignment
6.2550435	8.80438	Metaphase
6.3052516	9.011362	Metaphase
1.7451565	8.113861	Polylobed
1.9351426	8.604232	Polylobed
5.466651	8.745554	Metaphase
2.2951355	8.5668125	Polylobed
1.7493782	9.695096	Polylobed
1.7012326	9.677558	Polylobed
6.258563	5.706943	Metaphase
1.6554456	9.764118	Polylobed
1.710938	8.817293	Polylobed
1.5719571	8.793545	Polylobed
1.7021981	9.771717	Polylobed
1.4881531	8.481203	Binuclear
1.5023841	8.018366	Binuclear
5.58223	7.9454327	Metaphase
4.7851834	8.94315	Artefact
4.948874	8.972072	Artefact
5.121119	9.074678	Artefact
2.1937392	9.204746	Polylobed
2.0082731	8.822248	Polylobed
1.9369464	8.549827	Polylobed
2.3558705	6.9921002	Binuclear
2.005289	7.671524	Binuclear
2.0948691	9.044298	Binuclear
5.066362	7.407419	MetaphaseAlignment
1.9235568	8.995045	Binuclear
2.6895492	5.6717544	Polylobed
7.388374	4.9002843	MetaphaseAlignment
2.2736447	5.3982987	Polylobed
2.977515	3.2344396	Polylobed
2.9238954	3.324239	Polylobed
1.5347975	7.4410176	Polylobed
